Trial,Feature Time,Feature Location,Feature Element,Feature Landform,prior-intensity,elemeent-prior,Reality Mine,prior-reality,AI advice,AI-ACC,advice-prior
1,2000,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1
2,2001,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0
3,2002,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1
4,2003,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0
5,2001,南半球,嫦娥石,龙纹地貌,High,Big,Small,0,Small,1,0
6,2004,南半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0
7,2004,北半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1
8,2006,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0
9,2007,南半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1
10,2008,南半球,月球玄武岩,低地,High,Small,Big,0,Small,0,1
11,2006,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0
12,2008,北半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1
13,2009,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Small,0,0
14,2010,南半球,嫦娥石,龙纹地貌,High,Big,Big,1,Big,1,1
15,2010,南半球,嫦娥石,龙纹地貌,High,Big,Small,0,Big,0,1
16,2011,南半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1
17,2012,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0
18,2013,北半球,月球玄武岩,低地,High,Small,Small,1,Small,1,1
19,2014,北半球,月球玄武岩,低地,High,Small,Small,1,Big,0,0
20,2015,南半球,月球玄武岩,低地,High,Small,Big,0,Big,1,0
21,2006,南半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1
22,2008,北半球,苏长岩,龙纹地貌,Medium,Big,Big,1,Small,0,0
23,2009,南半球,月球角砾石,龙纹地貌,Medium,Big,Small,0,Small,1,0
24,2010,南半球,嫦娥石,环形山,Medium,Big,Small,0,Big,0,1
25,2010,南半球,苏长岩,龙纹地貌,Medium,Big,Big,1,Big,1,1
26,2011,南半球,月球玄武岩,高地,Medium,Small,Small,1,Big,0,0
27,2012,北半球,月球角砾石,低地,Medium,Small,Small,1,Small,1,1
28,2013,北半球,苏长岩,低地,Medium,Small,Big,0,Small,0,1
29,2014,北半球,月球玄武岩,高地,Medium,Small,Big,0,Big,1,0
30,2015,南半球,月球玄武岩,环形山,Medium,Small,Small,1,Big,0,0
31,2000,北半球,苏长岩,龙纹地貌,Medium,Big,Big,1,Small,0,0
32,2001,北半球,嫦娥石,高地,Medium,Big,Big,1,Big,1,1
33,2002,北半球,嫦娥石,高地,Medium,Big,Small,0,Big,0,1
34,2003,南半球,月球角砾石,龙纹地貌,Medium,Big,Small,0,Small,1,0
35,2001,南半球,嫦娥石,环形山,Medium,Big,Big,1,Small,0,0
36,2004,南半球,月球角砾石,低地,Medium,Small,Small,1,Small,1,1
37,2004,北半球,月球玄武岩,高地,Medium,Small,Small,1,Big,0,0
38,2006,北半球,月球玄武岩,环形山,Medium,Small,Big,0,Big,1,0
39,2007,南半球,苏长岩,低地,Medium,Small,Big,0,Small,0,1
40,2008,南半球,月球角砾石,低地,Medium,Small,Small,1,Small,1,1
41,2006,南半球,苏长岩,高地,Null,Null,Big,Null,Small,0,Null
42,2008,北半球,苏长岩,环形山,Null,Null,Big,Null,Big,1,Null
43,2009,南半球,月球角砾石,环形山,Null,Null,Small,Null,Big,0,Null
44,2010,南半球,苏长岩,高地,Null,Null,Small,Null,Small,1,Null
45,2010,南半球,月球角砾石,高地,Null,Null,Small,Null,Big,0,Null
46,2011,南半球,月球玄武岩,龙纹地貌,Null,Null,Small,Null,Small,1,Null
47,2012,北半球,嫦娥石,低地,Null,Null,Big,Null,Small,0,Null
48,2013,北半球,月球玄武岩,龙纹地貌,Null,Null,Big,Null,Big,1,Null
49,2014,北半球,嫦娥石,低地,Null,Null,Small,Null,Big,0,Null
50,2015,南半球,月球玄武岩,龙纹地貌,Null,Null,Big,Null,Big,1,Null
51,2011,北半球,苏长岩,高地,Null,Null,Big,Null,Big,1,Null
52,2012,北半球,苏长岩,环形山,Null,Null,Big,Null,Small,0,Null
53,2014,北半球,月球角砾石,环形山,Null,Null,Small,Null,Small,1,Null
54,2014,南半球,苏长岩,高地,Null,Null,Small,Null,Big,0,Null
55,2015,北半球,月球角砾石,高地,Null,Null,Small,Null,Small,1,Null
56,2016,南半球,嫦娥石,低地,Null,Null,Small,Null,Big,0,Null
57,2018,北半球,月球玄武岩,龙纹地貌,Null,Null,Big,Null,Big,1,Null
58,2019,南半球,嫦娥石,低地,Null,Null,Big,Null,Small,0,Null
59,2020,南半球,月球玄武岩,龙纹地貌,Null,Null,Small,Null,Small,1,Null
60,2002,北半球,嫦娥石,低地,Null,Null,Big,Null,Small,0,Null
